3,audi,sedan,99.8,176.6,ohc,four,102,24,13950
17,chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295
18,chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575
19,dodge,hatchback,93.7,157.3,ohc,four,68,31,6377
20,dodge,hatchback,93.7,157.3,ohc,four,68,31,6229
27,honda,wagon,96.5,157.1,ohc,four,76,30,7295
28,honda,sedan,96.5,175.4,ohc,four,101,24,12945
29,honda,sedan,96.5,169.1,ohc,four,100,25,10345
30,isuzu,sedan,94.3,170.7,ohc,four,78,24,6785
31,isuzu,sedan,94.5,155.9,ohc,four,70,38,
32,isuzu,sedan,94.5,155.9,ohc,four,70,38,
33,jaguar,sedan,113,199.6,dohc,six,176,15,32250
34,jaguar,sedan,113,199.6,dohc,six,176,15,35550
35,jaguar,sedan,102,191.7,ohcv,twelve,262,13,36000
36,mazda,hatchback,93.1,159.1,ohc,four,68,30,5195
37,mazda,hatchback,93.1,159.1,ohc,four,68,31,6095
38,mazda,hatchback,93.1,159.1,ohc,four,68,31,6795
39,mazda,hatchback,95.3,169,rotor,two,101,17,11845
43,mazda,sedan,104.9,175,ohc,four,72,31,18344
44,mercedes-benz,sedan,110,190.9,ohc,five,123,22,25552
45,mercedes-benz,wagon,110,190.9,ohc,five,123,22,28248
46,mercedes-benz,sedan,120.9,208.1,ohcv,eight,184,14,40960
47,mercedes-benz,hardtop,112,199.2,ohcv,eight,184,14,45400
49,mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389
50,mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189
51,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989
52,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189
53,nissan,sedan,94.5,165.3,ohc,four,55,45,7099
54,nissan,sedan,94.5,165.3,ohc,four,69,31,6649
55,nissan,sedan,94.5,165.3,ohc,four,69,31,6849
56,nissan,wagon,94.5,170.2,ohc,four,69,31,7349
57,nissan,sedan,100.4,184.6,ohcv,six,152,19,13499
61,porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028
62,porsche,convertible,89.5,168.9,ohcf,six,207,17,37028
63,porsche,hatchback,98.4,175.7,dohcv,eight,288,17,
66,toyota,hatchback,95.7,158.7,ohc,four,62,35,5348
67,toyota,hatchback,95.7,158.7,ohc,four,62,31,6338
68,toyota,hatchback,95.7,158.7,ohc,four,62,31,6488
69,toyota,wagon,95.7,169.7,ohc,four,62,31,6918
70,toyota,wagon,95.7,169.7,ohc,four,62,27,7898
71,toyota,wagon,95.7,169.7,ohc,four,62,27,8778
79,toyota,wagon,104.5,187.8,dohc,six,156,19,15750
80,volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775
81,volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975
82,volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995
86,volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995
87,volvo,sedan,104.3,188.8,ohc,four,114,23,12940
88,volvo,wagon,104.3,188.8,ohc,four,114,23,13415
